City Name,Cellular Carrier,Carrier MCC,Carrier MNC,Device Language,Device Model,Device OS,Device OS Version,Country / Region,App Version,Event Time (UTC),GPS Time (UTC),Latitude,Longitude,Analytics Event Type
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.768,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.798,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.769,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.798,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.799,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.799,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.799,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.801,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.802,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.944,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:49:59.951,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.276,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.435,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.442,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.735,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.735,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.735,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.736,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:01.142,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:00.736,"",,,impression
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:01.752,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:01.902,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:01.752,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:02.020,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:02.021,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:02.021,"",,,custom
toronto,,,,en_CA,"iPhone14,5",ios,18.5,CA,6.272.10001,2025-08-24 22:50:02.033,"",,,custom
