Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2025-09-05 19:34:55.792,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.746,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.728,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.951,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.814,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.798,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.921,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.863,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.984,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.971,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.984,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.985,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:55.994,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.056,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.002,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,impression
2025-09-05 19:34:56.056,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.002,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.086,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.086,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.083,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.094,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.100,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,impression
2025-09-05 19:34:56.100,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:56.100,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
